id,chart_template_id:id,name
l10n_co_fis_pos_tem_com_cun,l10n_co_chart_template_comercial,Común
l10n_co_fis_pos_tem_com_sim,l10n_co_chart_template_comercial,Simplificado
l10n_co_fis_pos_tem_com_aut,l10n_co_chart_template_comercial,Autoretenedor
l10n_co_fis_pos_tem_com_int,l10n_co_chart_template_comercial,Internacional
l10n_co_fis_pos_tem_fin_cun,l10n_co_chart_template_financiero,Común
l10n_co_fis_pos_tem_fin_sim,l10n_co_chart_template_financiero,Simplificado
l10n_co_fis_pos_tem_fin_aut,l10n_co_chart_template_financiero,Autoretenedor
l10n_co_fis_pos_tem_fin_int,l10n_co_chart_template_financiero,Internacional
l10n_co_fis_pos_tem_sol_cun,l10n_co_chart_template_solidario,Común
l10n_co_fis_pos_tem_sol_sim,l10n_co_chart_template_solidario,Simplificado
l10n_co_fis_pos_tem_sol_aut,l10n_co_chart_template_solidario,Autoretenedor
l10n_co_fis_pos_tem_sol_int,l10n_co_chart_template_solidario,Internacional
